parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.72	    280	         1	          1
fuente2 	6.89	    219	         2	          0
fuente3	        7.98	    146	         0	          1
fuente4 	7.22	    211	         0	          0
fuente5	        7.36	    195	         1	          0
fuente6 	7.58	    256	         1	          1
fuente7 	7.89	    263	         1	          2
fuente8 	7.98	    261	         0	          1
fuente9 	7.68	    272	         0	          0
fuente10	6.78	    246	         2	          0
fuente11	6.44	    145	         1	          0
fuente12	7.58	    240	         0	          1
fuente13	7.12	    255	         1	          1
fuente14	7.79	    278	         0	          0
fuente15	7.77	    254	         2	          1
fuente16	7.36	    178	         1	          0
fuente17	7.69	    196	         1	          1
fuente18	7.10	    228	         0	          1
fuente19	6.97	    225	         0	          0
fuente20	7.14	    284	         1	          1
fuente21	6.97	    122	         2	          1
fuente22	7.37	    249	         0	          2
fuente23	7.42	    225	         2	          1
fuente24	6.70	    242	         1	          0
fuente25	7.44	    228	         1	          0
