parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.30	    239	         1	          0
fuente2 	7.11	    127	         0	          0
fuente3	        7.2	    117	         1	          0
fuente4 	6.36	    287	         0	          0
fuente5	        7.14	    111          1	          1
fuente6 	6.59	    117	         1	          1
fuente7 	7.48	    100	         0	          0
fuente8 	7.70	    269	         0	          2
fuente9 	6.67	    177	         0	          2
fuente10	7.84	    236	         1	          0
fuente11	7.11	    204	         0	          0
fuente12	6.59	    174	         0	          0
fuente13	6.89	    135	         1	          1
fuente14	7.36	    130	         0	          2
fuente15	6.21	    180	         0	          0
fuente16	6.75	    144	         1	          3
fuente17	7.37	    170	         0	          2
fuente18	7.2	    114	         0	          2
fuente19	6.92	    235	         1	          1
fuente20	7.29	    169	         2	          0
fuente21	7.75	    144	         0	          0
fuente22	7.57	    188	         1	          1
fuente23	7	    134	         1	          1
fuente24	6.9	    215	         0	          1
fuente25	7.38	    189	         1	          0
