parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.30	    239	         1	          1
fuente2 	7.11	    127	         0	          1
fuente3	        7.2	    117	         1	          1
fuente4 	6.36	    287	         0	          0
fuente5	        7.14	    111          1	          1
fuente6 	6.59	    117	         1	          1
fuente7 	7.48	    100	         0	          0
fuente8 	7.70	    269	         0	          0
fuente9 	6.69	    170	         0	          0
fuente10	7.21	    202	         1	          1
fuente11	7.41	    204	         0	          0
fuente12	6.65	    189	         0	          1
fuente13	6.19	    125	         2	          1
fuente14	7.36	    120	         1	          0
fuente15	6.36	    170	         1	          0
fuente16	6.75	    134	         0	          3
fuente17	7.89	    174	         0	          2
fuente18	7.24	    114	         0	          2
fuente19	6.92	    287	         1	          1
fuente20	7.20	    169	         2	          0
fuente21	7.75	    144	         0	          0
fuente22	7.57	    188	         1	          1
fuente23	7	    134	         1	          0
fuente24	6.9	    215	         0	          0
fuente25	7.38	    189	         1	          0
