parametros	ph	conductividad	turbidez	coliformes
fuente1	7,36	   112	         1	           0
fuente2	7,88	   100	         1	           0
fuente3	6,74	   194	         1	           1
fuente4	6	   116	         0	           0
fuente5	7,94	   117	         1             1
fuente6	6,5	   115	         0	           0
fuente7	7,44 	   203	         0	           0
fuente8	6,57	   269	         0	           0
fuente9	7,48	   232	         0	           1
fuente10	6,37	   219	         2	           0
fuente11	7,79	   201	         1	           1
fuente12	7,94	   121	         4	           0
fuente13	6,74	   141	         3	           1
fuente14	7,54 	   178	         0	           1
fuente15	6,59	   173	         1	           1
fuente16	7,29	   166	         0	           0
fuente17	7,59	   145	         0	           1
fuente18	7,29	   158	         0	           0
fuente19	7,57	   102	         1             0
fuente20	7,38	   103	         0	           0
fuente21	7,39	   176	         1	           1
fuente22	7,78	   147	         0	           0
fuente23	7,57	   178	         1	           0
fuente24	7,37	   112	         1             1
fuente25	7,69	   163	         0	           0
