parametros	ph	conductividad	turbidez	coliformes
fuente1	7,36	   112	         1	           0
fuente2	7,75	   269	         1	           0
fuente3	6,67	   194	         1	           0
fuente4	6	   116	         0	           0
fuente5	7,94	   117	         0             0
fuente6	6,5	   112	         0	           0
fuente7	7,44 	   203	         0	           0
fuente8	6,57	   269	         0	           1
fuente9	7,38	   244	         0	           1
fuente10	6,37	   219	         3	           1
fuente11	7,79	   201	         2	           1
fuente12	7,94	   121	         5	           0
fuente13	6,83	   141	         4	           1
fuente14	7,54 	   121	         0	           0
fuente15	6,59	   173	         0	           1
fuente16	7,29	   166	         1	           1
fuente17	7,37	   163	         0	           2
fuente18	7,29	   158	         0	           0
fuente19	7,46	   100	         0             0
fuente20	7,38	   103	         0	           0
fuente21	7,39	   176	         1	           1
fuente22	7,76	   143	         0	           1
fuente23	7,57	   178	         1	           0
fuente24	7,35	   110	         1             1
fuente25	7,69	   163	         0	           0
