parametros	ph	conductividad	turbidez	coliformes
fuente1	6,2	110	1	0
fuente2	7	169	0	1
fuente3	6,95	260	0	0
fuente4	7,62	234	0	0
fuente5	7	195	0	0
fuente6	6,6	165	0	0
fuente7	7,5	280	4	1
fuente8	7,56	160	3	1
fuente9	7,94	121	2	1
fuente10	7,8	100	0	0
fuente11	7,19	200	0	0
fuente12	7,54	215	0	0
fuente13	7,35	116	0	0
fuente14	7,01	117	1	2
fuente15	6,87	97	1	0
fuente16	6,92	109	1	0
fuente17	7,38	200	9	2
fuente18	7,47	272	5	0
fuente19	7,67	244	3	2
fuente20	7,39	219	0	0
fuente21	7,31	201	0	0
fuente22	7,49	121	0	0
fuente23	6,71	141	1	0
fuente24	7,52	166	0	1
fuente25	7,37	173	0	0
