parametros	ph	conductividad	turbidez	coliformes
fuente 1	6,2	110	1	0
fuente 2	7	169	0	1
fuente 3	6,95	260	0	0
fuente 4	7,62	234	0	0
fuente 5	7	195	0	0
fuente 6	6,6	165	0	0
fuente 7	7,5	280	4	1
fuente 8	7,56	160	3	1
fuente 9	7,94	121	2	1
fuente 10	7,8	100	0	0
fuente 11	7,19	200	0	0
fuente 12	7,54	215	0	0
fuente 13	7,35	116	0	0
fuente 14	7,01	117	1	2
fuente 15	6,87	97	1	0
fuente 16	6,92	109	1	0
fuente 17	7,38	200	9	2
fuente 18	7,47	272	5	0
fuente 19	7,67	244	3	2
fuente 20	7,39	219	0	0
fuente 21	7,31	201	0	0
fuente 22	7,49	121	0	0
fuente 23	6,71	141	1	0
fuente 24	7,52	166	0	1
fuente 25	7,37	173	0	0
