parametros	ph	conductividad	turbidez	coliformes
fuente _1	6,2	113	1	0
fuente _2	7,02	169	0	0
fuente _3	6,98	264	0	1
fuente _4	7,62	234	0	0
fuente _5	7,01	194	1	0
fuente _6	6,64	167	0	1
fuente _7	7,54	284	4	1
fuente _8	7,55	166	4	0
fuente _9	7,94	121	2	1
fuente _10	7,87	103	0	0
fuente _11	7,19	201	0	0
fuente _12	7,43	209	1	0
fuente _13	7,31	116	0	0
fuente _14	7,09	119	1	1
fuente _15	6,76	100	0	0
fuente _16	6,92	109	1	0
fuente_ 17	7,38	200	8	2
fuente _18	7,47	272	4	0
fuente _19	7,45	242	3	2
fuente _20	7,33	219	0	0
fuente _21	7,31	201	0	1
fuente _22	7,52	121	0	0
fuente _23	6,71	143	1	0
fuente _24	7,31	166	0	1
fuente _25	7,35	173	0	0
