parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.9	    210	         1	          1
fuente2 	7.8	    129	         0	          0
fuente3	        7.83	    100	         1	          1
fuente4 	6.90	    288	         1	          0
fuente5	        7.00	    218	         1	          1
fuente6 	7.59	    214	         0	          0
fuente7 	6.38	    184	         1	          0
fuente8 	7.58	    269	         1	          0
fuente9 	6.69	    177	         0	          1
fuente10	7.79	    219	         4	          1
fuente11	7.49	    205	         0	          0
fuente12	6.89	    121	         0	          2
fuente13	6.56	    125	         2	          1
fuente14	7.49	    181	         2	          1
fuente15	6.96	    279	         0	          0
fuente16	7.75	    284	         1	          0
fuente17	7.97	    179	         0	          1
fuente18	7.20	    214	         0	          1
fuente19	6.92	    135	         2	          1
fuente20	6.29	    169	         1	          0
fuente21	7.75	    244	         0	          1
fuente22	6.57	    189	         0	          1
fuente23	7.30	    138	         1	          0
fuente24	6.28	    298	         0	          1
fuente25	7.98	    227	         1	          0
