parametros	pH	conductividad	turbidez	coliformes
fuente1 	7.3     108       	0         	1
fuente2 	6.20    299      	0       	0
fuente3 	7.23	313      	8         	0
fuente4 	7.55	218     	1       	0
fuente5 	5.86	221     	0        	1
fuente6 	6.95	127             9           	0
fuente7 	7.48	178     	0         	0
fuente8 	7.61	149     	4         	0
fuente9 	7.00	182     	2       	0
fuente10	6.88	173     	7         	1
fuente11	8.00	219      	0           	0
fuente12	6.63	270     	5       	0
fuente13	7.61	158     	0         	0
fuente14	7.02	144     	1        	0
fuente15	5.98	288       	0          	2
fuente16	7.08	257      	1       	0
fuente17	7.25	112      	5        	0
fuente18	7.33	245      	8        	0
fuente19	6.82	193     	1        	0
fuente20	7.19	214     	0            	2
fuente21	6.31	252     	1         	0
fuente22	7.41	248     	1       	0
fuente23	6.63	214     	2       	0
fuente24	7.22	140       	0               1
fuente25	8.00	145     	0       	0
