parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.37	    287	         1	          0
fuente2 	7.12	    120	         0	          0
fuente3	        7.2	    104          1	          0
fuente4 	6.36	    209	         0	          0
fuente5	        7.14	    115          1	          1
fuente6 	6.59	    117	         1	          1
fuente7 	7.38	    100	         1	          0
fuente8 	7.78	    269	         0	          0
fuente9 	6.69	    177	         1	          0
fuente10	7.24	    236	         0	          1
fuente11	7.41	    205	         0	          0
fuente12	6.59	    184	         5	          0
fuente13	6.19	    125	         2	          1
fuente14	7.36	    121	         1	          1
fuente15	6.50	    170	         1	          0
fuente16	7.75	    131	         1	          0
fuente17	7.37	    170	         0	          2
fuente18	7.2	    114	         0	          2
fuente19	6.92	    264	         1	          1
fuente20	7.00	    169	         2	          0
fuente21	7.98	    144	         0	          0
fuente22	7.57	    100	         1	          1
fuente23	7.21	    134	         1	          1
fuente24	6.89	    215	         0	          1
fuente25	7.38	    189	         1	          0
