parametros	ph	conductividad	turbidez	coliformes
fuente1	6,3	100	1	0
fuente2	7,7	143	0	0
fuente3	7,12	274	1	0
fuente4	6,94	220	1	1
fuente5	7,51	149	0	0
fuente6	6,67	164	0	0
fuente7	7,44	282	1	1
fuente8	7,56	161	2	1
fuente9	7,85	132	1	0
fuente10	7,83	112	0	0
fuente11	7,16	203	1	0
fuente12	7,54	217	0	0
fuente13	7,37	125	0	1
fuente14	6,93	121	1	0
fuente15	6,89	108	1	1
fuente16	6,98	101	0	0
fuente17	7,33	207	5	2
fuente18	7,21	268	4	1
fuente19	7,67	224	1	1
fuente20	7,39	219	0	0
fuente21	7,14	212	0	0
fuente22	7,49	126	1	1
fuente23	6,26	141	0	0
fuente24	7,54	166	0	1
fuente25	7,32	185	0	0
