parametros	ph	conductividad	turbidez	coliformes
fuente1	        6.67	100	        0	        0
fuente2	        6.02	278	        1	        0
fuente3	        7.14	290	        0	        0
fuente4	        7.77	214	        0	        1
fuente5	        6.14	178	        1		1
fuente6	        6.96	117	        0	        0
fuente7	        7.43	164	        0		0
fuente8	        757	141	        2	        2
fuente9	        7.18	178	        0	        0
fuente10	6.66	188	        0	        0
fuente11	7.87	226	        0	        0
fuente12	6.25	262	        5	        0
fuente13	7.79	149	        0	        0
fuente14	7.1	153	        10	        1
fuente15	6.07	288	        0	        0
fuente16	6.82	266	        0	        0
fuente17	7.26	107	        2	        1
fuente18	7.29	251	        0	        0
fuente19	6.8	177	        0	        1
fuente20	7	213	        1	        0
fuente21	6.43	251	        0	        0
fuente22	7.19	240	        5	        1
fuente23	6.46	207	        0	        0
fuente24	7.3	133	        4	        0
fuente25	7.89	143	        0	        1
