parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.29	    239	         0	          1
fuente2 	7.10	    127	         1	          1
fuente3	        7.24	    117	         3	          0
fuente4 	6.34	    287	         0	          0
fuente5	        7.14	    111          1	          1
fuente6 	6.59	    117	         0	          1
fuente7 	7.48	    100	         0	          0
fuente8 	7.77	    274	         0	          0
fuente9 	6.69	    177	         0	          0
fuente10	7.26	    236	         2	          1
fuente11	7.41	    206	         0	          0
fuente12	6.59	    184	         1	          1
fuente13	6.19	    125	         2	          1
fuente14	7.36	    120	         1	          0
fuente15	6.03	    177	         1	          0
fuente16	6.75	    134	         0	          3
fuente17	7.37	    170	         0	          2
fuente18	7.2	    119	         0	          2
fuente19	6.92	    235	         1	          1
fuente20	7.29	    178	         2	          0
fuente21	7.75	    144	         0	          0
fuente22	7.57	    188	         1	          1
fuente23	7	    145	         1	          1
fuente24	6.9	    215	         0	          1
fuente25	7.38	    189	         1	          0
