parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.72	    180	         1	          1
fuente2 	7.89	    229	         1	          0
fuente3	        7.18	    196	         0	          0
fuente4 	7.45	    271	         2	          0
fuente5	        7.45	    125	         1	          1
fuente6 	7.60	    226	         0	          1
fuente7 	7.28	    273	         1	          0
fuente8 	7.98	    269	         1	          1
fuente9 	7.69	    172	         0	          0
fuente10	6.92	    146	         2	          1
fuente11	6.89	    245	         0	          0
fuente12	7.80	    239	         0	          1
fuente13	7.59	    199	         1	          0
fuente14	7.77	    278	         1	          0
fuente15	7.86	    254	         0	          1
fuente16	7.75	    278	         1	          1
fuente17	7.87	    196	         0	          0
fuente18	7.20	    288	         1	          1
fuente19	6.98	    225	         1	          1
fuente20	7.79	    274	         0	          0
fuente21	6.95	    122	         0	          1
fuente22	7.37	    299	         1	          0
fuente23	7.40	    245	         2	          2
fuente24	6.39	    212	         0	          1
fuente25	7.44	    128	         1	          1
