parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.72	    220	         1	          1
fuente2 	6.89	    209	         1	          0
fuente3	        7.94	    126	         0	          1
fuente4 	7.29	    210	         0	          0
fuente5	        7.44	    255	         2	          0
fuente6 	7.57	    251	         0	          1
fuente7 	7.54	    252	         0	          1
fuente8 	7.94	    277	         1	          1
fuente9 	7.67	    272	         0	          0
fuente10	6.78	    240	         1	          0
fuente11	6.49	    155	         0	          0
fuente12	7.57	    200	         1	          0
fuente13	7.16	    175	         1	          1
fuente14	7.21	    278	         0	          1
fuente15	7.32	    264	         1	          1
fuente16	7.47	    278	         0	          1
fuente17	7.62	    196	         0	          0
fuente18	7.17	    258	         1	          2
fuente19	6.85	    265	         0	          1
fuente20	7.75	    184	         0	          0
fuente21	6.99	    226	         1	          0
fuente22	7.88	    149	         0	          1
fuente23	7.20	    125	         0	          0
fuente24	6.50	    242	         0	          2
fuente25	7.24	    218	         1	          1
