parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.95	    239	         1	          1
fuente2 	7.2	    124	         0	          0
fuente3	        7.83	    100	         1	          0
fuente4 	6.66	    212	         0	          0
fuente5	        7.14	    118	         1	          1
fuente6 	6.59	    114	         1	          1
fuente7 	7.38	    154	         0	          0
fuente8 	7.58	    269	         0	          0
fuente9 	669	    177	         0	          1
fuente10	7.29	    219	         4	          1
fuente11	7.49	    205	         0	          0
fuente12	6.59	    121	         0	          0
fuente13	6.56	    125	         2	          1
fuente14	7.49	    121	         1	          1
fuente15	6.56	    176	         1	          0
fuente16	7.75	    134	         0	          0
fuente17	7.37	    179	         0	          1
fuente18	7.2	    114	         0	          2
fuente19	6.92	    235	         1	          1
fuente20	7.29	    169	         2	          0
fuente21	7.75	    144	         0	          0
fuente22	7.57	    189	         1	          1
fuente23	7.3	    134	         1	          1
fuente24	6.98	    215	         0	          1
fuente25	7.38	    189	         1	          0
