parametros	ph	conductividad	turbidez	coliformes
fuente 1	6,17	101	1	0
fuente 2	6,84	140	0	0
fuente 3	7,78	281	0	0
fuente 4	7,23	267	0	1
fuente 5	7,17	213	2	0
fuente 6	6,13	116	4	0
fuente 7	6,15	118	0	1
fuente 8	7,35	223	0	0
fuente 9	6,67	178	10	0
fuente 10	6,89	247	0	0
fuente 11	7,35	189	5	0
fuente 12	6,11	234	0	2
fuente 13	6,84	184	0	0
fuente 14	7,77	143	0	1
fuente 15	7,56	133	3	0
fuente 16	6,73	250	0	0
fuente 17	7,94	165	1	1
fuente 18	7,21	123	0	0
fuente 19	6,48	273	0	1
fuente 20	6,73	197	5	0
fuente 21	6,13	248	0	0
fuente 22	7,27	273	0	1
fuente 23	6,11	120	0	0
fuente 24	7,44	133	1	0
fuente 25	7,79	180	0	0
