parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.37	    239	         1	          1
fuente2 	7	    124	         0	          0
fuente3	        7.2	    100	         1	          1
fuente4 	6.36	    212	         0	          0
fuente5	        7.14	    115          1	          1
fuente6 	6.59	    114	         1	          1
fuente7 	7.38	    100	         0	          0
fuente8 	7.78	    269	         0	          0
fuente9 	6.69	    177	         0	          0
fuente10	7.29	    219	         4	          1
fuente11	7.49	    205	         0	          0
fuente12	6.59	    121	         0	          0
fuente13	6.16	    125	         2	          1
fuente14	7	    121	         1	          1
fuente15	6.56	    170	         1	          0
fuente16	7.75	    134	         0	          0
fuente17	7.37	    170	         0	          2
fuente18	7.2	    114	         0	          2
fuente19	6.92	    235	         1	          1
fuente20	7.29	    169	         2	          0
fuente21	7.75	    144	         0	          0
fuente22	7.57	    188	         1	          1
fuente23	7	    134	         1	          1
fuente24	6.9	    215	         0	          1
fuente25	7.38	    189	         1	          0
