parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.12	    230	         1	          1
fuente2 	7.59	    249	         1	          0
fuente3	        7.44	    186	         1	          2
fuente4 	7.29	    220	         0	          0
fuente5	        7.14	    275	         1	          1
fuente6 	7.27	    211	         0	          1
fuente7 	7.04	    232	         2	          0
fuente8 	7.44	    247	         0	          1
fuente9 	7.57	    292	         2	          0
fuente10	6.08	    247	         0	          0
fuente11	6.89	    189	         0	          1
fuente12	7.47	    274	         1	          1
fuente13	7.66	    195	         1	          0
fuente14	7.11	    214	         1	          1
fuente15	7.52	    271	         0	          2
fuente16	7.07	    242	         0	          0
fuente17	7.82	    198	         1	          0
fuente18	7.17	    244	         1	          0
fuente19	7.35	    265	         0	          1
fuente20	7.85	    234	         0	          1
fuente21	7.49	    216	         1	          1
fuente22	7.68	    198	         1	          0
fuente23	7.20	    215	         0	          1
fuente24	7.00	    215	         0	          1
fuente25	7.24	    270	         1	          1
