parametros	ph	conductividad	turbidez	coliformes
fuente1 	6.49	   112	         1	         0
fuente2 	7.2	   110	         0	         0
fuente3 	7.83 	   174	         1               1
fuente4 	6.66	   125	         0	         0
fuente5 	7.59	   138	         0	         0
fuente6 	6.59	   124	         1	         0
fuente7 	7.67	   266	         1	         0
fuente8 	7.88	   259	         1	         0
fuente9 	7.69	   224	         0	         1
fuente10	7.29	   219       	 1	         1
fuente11	7.69	   204	         0	         1
fuente12	6.59	   171	         3	         0
fuente13	6.72	   279	         4	         1
fuente14	7.49	   129	         0	         0
fuente15	6.59	   148	         1 	         1
fuente16	7.65	   176	         0	         1
fuente17	7.47	   163	         0	         2
fuente18	7.2	   158	         1	         2
fuente19	7.08	   199	         0	         0
fuente20	7.43	   123	         1	         1
fuente21	6.67	   165	         0 	         1
fuente22	7.66	   154	         0	         1
fuente23	7.57	   173	         1	         0
fuente24	7.34	   125	         1	         1
fuente25	6.88	   116	         1	         0
