parametros	ph	conductividad	turbidez	coliformes
fuente1	6	100	1	0
fuente2	7,2	158	0	1
fuente3	6,95	269	0	0
fuente4	7,75	239	0	0
fuente5	7,04	194	0	0
fuente6	6,66	163	0	0
fuente7	7,46	281	5	1
fuente8	7,56	161	3	1
fuente9	7,94	121	2	0
fuente10	7,83	103	0	0
fuente11	7,16	200	0	0
fuente12	7,46	214	0	0
fuente13	7,35	116	0	1
fuente14	6,94	117	1	0
fuente15	6,83	112	1	0
fuente16	6,92	108	1	0
fuente17	7,38	203	10	2
fuente18	7,47	269	5	1
fuente19	7,67	244	4	1
fuente20	7,39	219	0	0
fuente21	7,29	201	0	0
fuente22	7,49	121	0	0
fuente23	6,59	141	1	0
fuente24	7,49	166	0	0
fuente25	7,37	173	0	0
