parametros	pH	conductividad	turbidez	coliformes
fuente1	7,25	114	0	0
fuente2	6,18	295	0	0
fuente3	7,30	314	10	0
fuente4	7,61	214	2	0
fuente5	5,91	224	0	1
fuente6	6,99	127	9	0
fuente7	7,55	173	0	0
fuente8	7,68	142	3	0
fuente9	7,08	176	0	0
fuente10	6,95	178	9	1
fuente11	8,00	219	0	0
fuente12	6,71	266	4	0
fuente13	7,61	163	0	0
fuente14	7,08	140	2	0
fuente15	5,90	291	0	2
fuente16	7,08	254	2	0
fuente17	7,26	120	4	0
fuente18	7,38	246	9	0
fuente19	6,73	187	0	0
fuente20	7,17	213	2	2
fuente21	6,29	253	2	0
fuente22	7,43	248	0	0
fuente23	6,66	207	0	0
fuente24	7,16	138	0	2
fuente25	8,00	141	0	0
