parametros	ph	conductividad	turbidez	coliformes
fuente 1	6,95	    239	         1	          1
fuente 2	7,2	    124	         0	          0
fuente 3	7,86	    104	         1	          1
fuente 4	6,66	    215	         0	          0
fuente 5	6,9	    124	         1	          1
fuente 6	7,04	    118	         0	          0
fuente 7	7,38	    164	         1	          1
fuente 8	7,58	    269	         0	          0
fuente 9	6,89	    179	         0	          1
fuente 10	7,36	    243	         2	          0
fuente 11	7,49	    205	         0	          0
fuente 12	6,59	    121	         0	          1
fuente 13	7,03	    125	         0	          1
fuente 14	7,49	    121	         1	          0
fuente 15	6,56	    178	         1	          1
fuente 16	6,95	    140	         1	          0
fuente 17	7,4	    179	         1	          1
fuente 18	7,26	    127	         0	          1
fuente 19	7,64	    237	         0	          0
fuente 20	7,34	    169	         1	          0
fuente 21	7,46	    148	         0	          0
fuente 22	7,57	    189	         0	          1
fuente 23	7,14	    142	         0	          1
fuente 24	7,45	    212	         0	          1
fuente 25	6,34	    183	         1	          0
