parametros	ph	conductividad	turbidez	coliformes
fuente1	6,2	110	1	0
fuente2	7,02	169	0	1
fuente3	6,98	260	0	1
fuente4	7,62	234	0	0
fuente5	7,01	194	1	0
fuente6	6,6	165	0	0
fuente7	7,5	284	4	1
fuente8	7,55	167	3	0
fuente9	7,94	121	2	1
fuente10	7,8	103	0	0
fuente11	7,19	200	0	0
fuente12	7,54	215	1	0
fuente13	7,31	116	0	0
fuente14	7,09	119	1	1
fuente15	6,87	97	1	0
fuente16	6,92	109	1	0
fuente17	7,38	200	8	2
fuente18	7,47	272	6	0
fuente19	7,66	242	3	2
fuente20	7,30	219	0	0
fuente21	7,31	201	0	1
fuente22	7,49	121	0	0
fuente23	6,71	143	1	0
fuente24	7,52	166	0	1
fuente25	7,34	173	0	0
