parametros	ph	conductividad	turbidez	coliformes
fuente1 	6.17    101     	1       	0
fuente2 	6.84	140     	0       	0
fuente3 	7.78	281         	0       	0
fuente4 	7.23	267       	0         	1
fuente5 	7.17	213             2          	0
fuente6 	6.13	116     	4       	0
fuente7 	6.15	118     	0         	1
fuente8 	7.35	223      	0        	0
fuente9 	6.67	178       	10      	0
fuente10	6.89	247     	0       	0
fuente11	7.35	189         	5       	0
fuente12	6.11	234      	0       	2
fuente13	6.84	184      	0       	0
fuente14	7.77	143       	0       	1
fuente15	7.56	133     	3       	0
fuente16	6.73	250     	0       	0
fuente17	7.94	165     	1       	1
fuente18	7.21	123      	0         	0
fuente19	6.48	273      	0       	1
fuente20	6.73	197       	5       	0
fuente21	6.13	248      	0       	0
fuente22	7.27	273      	0        	1
fuente23	6.11	120      	0         	0
fuente24	7.44	133     	1        	0
fuente25	7.79	180     	0          	0
