parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.62	    256          0	          1
fuente2 	7.19	    247	         1	          0
fuente3	        7.54	    149	         2	          2
fuente4 	7.79	    277	         0	          1
fuente5	        7.14	    235	         1	          0
fuente6 	7.97	    201	         1	          0
fuente7 	7.34	    272	         0	          1
fuente8 	7.44	    297	         1	          2
fuente9 	7.17	    262	         1	          0
fuente10	7.08	    217	         0	          0
fuente11	7.00	    219	         0	          1
fuente12	7.49	    274	         2	          1
fuente13	7.62	    215	         1	          1
fuente14	7.10	    194	         2	          0
fuente15	7.52	    231	         1	          1
fuente16	7.07	    222	         0	          1
fuente17	7.81	    188	         0	          0
fuente18	7.16	    214	         1	          0
fuente19	7.01	    275	         2	          0
fuente20	7.14	    234	         0	          1
fuente21	7.78	    296	         2	          2
fuente22	7.99	    208	         1	          0
fuente23	7.00	    285	         0	          0
fuente24	7.03	    215	         2	          1
fuente25	7.27	    210	         1	          0
