parametros	ph	conductividad	turbidez	coliformes
fuente1	6.13	107	0	1
fuente2	6.76	141	0	0
fuente3	7.70	288	2	0
fuente4	7.29	261	0	0
fuente5	7.23	206	2	0
fuente6	6.10	118	1	0
fuente7	6.14	112	5	1
fuente8	7.25	229	0	1
fuente9	6.59	176	1	0
fuente10	6.89	240	0	1
fuente11	7.41	195	2	1
fuente12	6.03	226	6	0
fuente13	6.72	178	0	0
fuente14	7.71	139	1	2
fuente15	7.58	139	3	0
fuente16	6.76	258	0	1
fuente17	7.97	175	2	1
fuente18	7.17	125	0	0
fuente19	6.58	277	2	0
fuente20	6.75	192	6	0
fuente21	6.10	250	2	0
fuente22	7.33	278	0	1
fuente23	6.06	119	2	1
fuente24	7.38	132	2	1
fuente25	7.77	173	0	1
