parametros	ph	conductividad	turbidez	coliformes
fuente1	6.49	   112	         1	         0
fuente2	7.2	   100	         0	         0
fuente3	7.83 	   194	         1           1
fuente4	6.66	   115	         0	         1
fuente5	7.29	   118	         0	         0
fuente6	6.59	   114	         1	         0
fuente7	7.67	   266	         1	         1
fuente8	7.58	   269	         1	         1
fuente9	7.39	   244	         0	         1
fuente10	7.29	   219       	   3	         0
fuente11	7.49	   204	         1	         0
fuente12	6.59	   121	         5	         0
fuente13	6.92	   269	         4	         1
fuente14	7.49	   121	         0	         0
fuente15	6.59	   178	         0 	         1
fuente16	7.35	   176	         1	         1
fuente17	7.37	   163	         0	         2
fuente18	7.2	   158	         2	         2
fuente19	6.68	   189	         0	         0
fuente20	7.43	   143	         3	         1
fuente21	6.67	   165	         0 	         1
fuente22	7.46	   174	         1	         1
fuente23	7.57	   143	         1	         0
fuente24	7.34	   125	         0	         1
fuente25	6.78	   176	         0	         0

