parametros	ph	conductividad	turbidez	coliformes
fuente1	6.3	100	1	0
fuente2	7,7	144	0	0
fuente3	7,11	274	0	0
fuente4	6,99	221	1	1
fuente5	7,51	149	0	0
fuente6	6,67	164	0	0
fuente7	7,46	281	1	1
fuente8	7,56	159	3	1
fuente9	7,85	132	1	0
fuente10	7,80	111	0	0
fuente11	7,16	203	1	1
fuente12	7,54	217	0	0
fuente13	7,37	124	0	1
fuente14	6,94	121	1	0
fuente15	6,89	109	1	1
fuente16	6,98	108	0	0
fuente17	7,38	207	6	2
fuente18	7,21	270	5	1
fuente19	7,67	224	1	1
fuente20	7,39	219	0	0
fuente21	7,19	203	0	0
fuente22	7,49	126	2	1
fuente23	6,26	141	1	0
fuente24	7,51	167	0	0
fuente25	7,32	184	0	0
