parametros	ph	conductividad	turbidez	coliformes
fuente_1	7	190	1	0
fuente_2	7,98	211	1       0
fuente_3	7,89	191	0	1
fuente_4	7,8	184	2	1
fuente_5	7,80	281	1	0
fuente_6	7,22	196	1	1
fuente_7	6,99	132	0	0
fuente_8	7,55	187	1	1
fuente_9	7,18	209	1	1
fuente_10	7,19	297	0	0
fuente_11	7,87	198	2	1
fuente_12	6,99	269	1	0
fuente_13	7,66	263	2	0
fuente _14	7,18	208	0	2
fuente_15	7,38	183	2	0
fuente_16	7,25	198	1	0
fuente_17	6,98	201	4	1
fuente_18	7,77	220	0	1
fuente_19	7,62	199	1	0
fuente_20	7,88	219	1	1
fuente_21	6,78	168	4	0
fuente_22	7,99	216	2	1
fuente_23	7,81	195	0	1
fuente_24	7,98	213	2	2
fuente_25	7,89	201	2	0
