parametros	ph	conductividad	turbidez	coliformes
fuente1  	7.7	    280	         1	          0
fuente2 	7.8	    120	         1	          1
fuente3	        7.88	    115	         0	          1
fuente4 	6.90	    278	         0	          1
fuente5	        7.00	    277	         2	          0
fuente6 	7.59	    216	         1	          1
fuente7 	6.38	    222	         0	          0
fuente8 	7.58	    269	         1	          1
fuente9 	6.69	    172	         0	          0
fuente10	7.79	    147	         2	          1
fuente11	7.69	    205	         1	          0
fuente12	6.99	    122	         0	          1
fuente13	7.56	    166	         1	          2
fuente14	7.49	    258	         2	          0
fuente15	7.96	    271	         0	          0
fuente16	7.75	    284	         1	          1
fuente17	6.97	    171	         0	          0
fuente18	6.20	    211	         1	          1
fuente19	7.92	    139	         2	          0
fuente20	7.29	    215	         2	          0
fuente21	7.75	    244	         0	          1
fuente22	6.57	    182	         1	          0
fuente23	6.30	    132	         0	          1
fuente24	6.38	    228	         0	          1
fuente25	7.88	    227	         1	          0
